Rank,SongName,Singer,Likepoint
1위,넘쳐흘러,엠씨더맥스,74149
2위,벌써 12시,청하,68071
3위,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40559
4위,180도,벤,116731
5위,신용재,하은 (라코스테남),79021
6위,SOLO,제니 (JENNIE),158229
7위,MILLIONS,WINNER,98738
8위,아낙네,MINO (송민호),140133
9위,Love Shot,EXO,119757
10위,너를 만나,폴킴,158088
11위,YES or YES,TWICE (트와이스),114799
12위,Tempo,EXO,167360
13위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233161
14위,내 생에 아름다운,케이윌,89342
15위,너도 그냥 날 놓아주면 돼,윤건,37302
16위,아름답고도 아프구나,비투비,120089
17위,해야 (Sunrise),여자친구 (GFRIEND),22261
18위,IDOL,방탄소년단,213112
19위,가을 타나 봐,바이브,112166
20위,첫눈에,헤이즈 (Heize),49380
21위,흔한 이별,허각,36489
22위,삐삐,아이유,203605
23위,%%(응응),Apink (에이핑크),22910
24위,고백,양다일,97523
25위,이별하러 가는 길,임한별,70164
26위,"thank u, next",Ariana Grande,81221
27위,Way Back Home,숀 (SHAUN),249297
28위,봄바람,Wanna One (워너원),124997
29위,열애중,벤,148110
30위,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135916
31위,사계 (하루살이),엠씨더맥스,20037
32위,FAKE LOVE,방탄소년단,268649
33위,트라우마 (Trauma),EXO,66561
34위,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120090
35위,너 없인 안 된다,비투비,150056
36위,Wait,EXO,67387
37위,봄날,방탄소년단,377333
38위,Gravity,EXO,95729
39위,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78892
40위,그리워하다,비투비,218762
41위,닿은 순간 (Ooh La La La),EXO,93118
42위,지나오다,닐로 (Nilo),191978
43위,24//7,EXO,91744
44위,알았다면,장덕철,20405
45위,I`m Fine,방탄소년단,157056
46위,습관 (Bad Habits),숀 (SHAUN),17083
47위,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202765
48위,DNA,방탄소년단,334723
49위,Sign,EXO,89992
50위,여기 있을게 (Smile On My Face),EXO,87003
51위,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20349
52위,너는 어땠을까,노을,37075
53위,사이렌 (Siren),선미,109963
54위,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106556
55위,We all lie,하진,34850
56위,Damage,EXO,83557
57위,가끔 (With You),EXO,84755
58위,후폭풍 (Bad Dream),EXO,83485
59위,행복,오반 (OVAN),42683
60위,미안해,양다일,141989
61위,Universe,EXO,185699
62위,Dance The Night Away,TWICE (트와이스),138541
63위,시간이 들겠지 (Feat. Colde),로꼬,96394
64위,오아시스 (Oasis),EXO,86547
65위,밤편지,아이유,303734
66위,이별길 (GOODBYE ROAD),iKON,84230
67위,우리 그만하자,로이킴,121539
68위,가을 안부,먼데이 키즈 (Monday Kiz),126030
69위,헤어지는 중,펀치 (Punch),97965
70위,Euphoria,방탄소년단,150693
71위,비,폴킴,182979
72위,Answer : Love Myself,방탄소년단,130497
73위,Bohemian Rhapsody (2011 Remaster),Queen,88158
74위,에너제틱 (Energetic),Wanna One (워너원),286591
75위,Wind flower,마마무(Mamamoo),48762
76위,그때 헤어지면 돼,로이킴,191439
77위,동화 (feat. 아이유),김동률,54915
78위,BOOMERANG (부메랑),Wanna One (워너원),144034
79위,Beautiful,Wanna One (워너원),235105
80위,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191423
81위,켜줘 (Light),Wanna One (워너원),133341
82위,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74229
83위,사랑을 했다 (LOVE SCENARIO),iKON,278900
84위,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89355
85위,Anpanman,방탄소년단,148939
86위,꿈처럼 내린,다비치,37686
87위,Epiphany,방탄소년단,119465
88위,불꽃놀이 (Flowerbomb),Wanna One (워너원),72298
89위,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8569
90위,술래,Wanna One (워너원),69447
91위,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81318
92위,그때가 좋았어,케이시 (Kassy),14265
93위,Trivia 轉 : Seesaw,방탄소년단,113936
94위,집,Wanna One (워너원),71777
95위,그 남자를 떠나,god,13531
96위,YA,이민혁 (HUTA),14300
97위,묻고싶다 (One Love),Wanna One (워너원),66889
98위,I`M OK,iKON,23454
99위,RBB (Really Bad Boy),Red Velvet (레드벨벳),55110
100위,사랑은 다 이러니,홍진영,11283
